Raw Data

TC= 31.50 C| TP= 31.90 C| TPL= 35.10 C| PWR =10.12 Watt| I_tot= 1.59 A| Vb= 6.36 V
TC= 31.50 C| TP= 31.90 C| TPL= 35.00 C| PWR =10.16 Watt| I_tot= 1.60 A| Vb= 6.37 V
TC= 31.50 C| TP= 31.90 C| TPL= 35.00 C| PWR =10.16 Watt| I_tot= 1.60 A| Vb= 6.37 V
TC= 31.50 C| TP= 31.90 C| TPL= 35.00 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.50 C| TP= 31.90 C| TPL= 35.00 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.50 C| TP= 31.90 C| TPL= 35.00 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.50 C| TP= 31.90 C| TPL= 35.00 C| PWR =10.03 Watt| I_tot= 1.59 A| Vb= 6.33 V
TC= 31.50 C| TP= 31.90 C| TPL= 35.00 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.50 C| TP= 31.90 C| TPL= 35.00 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.50 C| TP= 31.90 C| TPL= 35.00 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.50 C| TP= 31.90 C| TPL= 35.00 C| PWR =10.12 Watt| I_tot= 1.59 A| Vb= 6.36 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.90 C| PWR =10.16 Watt| I_tot= 1.60 A| Vb= 6.37 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.90 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.90 C| PWR =10.12 Watt| I_tot= 1.59 A| Vb= 6.36 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.90 C| PWR =10.12 Watt| I_tot= 1.59 A| Vb= 6.36 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.90 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.90 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.90 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.90 C| PWR =10.03 Watt| I_tot= 1.59 A| Vb= 6.33 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.90 C| PWR =10.03 Watt| I_tot= 1.59 A| Vb= 6.33 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.80 C| PWR =10.06 Watt| I_tot= 1.59 A| Vb= 6.34 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.80 C| PWR =10.12 Watt| I_tot= 1.59 A| Vb= 6.36 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.80 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.80 C| PWR =10.03 Watt| I_tot= 1.59 A| Vb= 6.33 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.80 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.80 C| PWR =10.06 Watt| I_tot= 1.59 A| Vb= 6.34 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.80 C| PWR =10.06 Watt| I_tot= 1.59 A| Vb= 6.34 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.80 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.80 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.80 C| PWR =10.00 Watt| I_tot= 1.58 A| Vb= 6.32 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.80 C| PWR =10.03 Watt| I_tot= 1.59 A| Vb= 6.33 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.70 C| PWR =10.03 Watt| I_tot= 1.59 A| Vb= 6.33 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.70 C| PWR =10.03 Watt| I_tot= 1.59 A| Vb= 6.33 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.70 C| PWR =10.06 Watt| I_tot= 1.59 A| Vb= 6.34 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.70 C| PWR =10.06 Watt| I_tot= 1.59 A| Vb= 6.34 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.70 C| PWR =10.06 Watt| I_tot= 1.59 A| Vb= 6.34 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.70 C| PWR =10.03 Watt| I_tot= 1.59 A| Vb= 6.33 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.70 C| PWR =9.94 Watt| I_tot= 1.58 A| Vb= 6.30 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.70 C| PWR =10.00 Watt| I_tot= 1.58 A| Vb= 6.32 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.70 C| PWR =9.97 Watt| I_tot= 1.58 A| Vb= 6.31 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.70 C| PWR =9.97 Watt| I_tot= 1.58 A| Vb= 6.31 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.70 C| PWR =10.06 Watt| I_tot= 1.59 A| Vb= 6.34 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.70 C| PWR =9.97 Watt| I_tot= 1.58 A| Vb= 6.31 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.70 C| PWR =9.97 Watt| I_tot= 1.58 A| Vb= 6.31 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.60 C| PWR =9.97 Watt| I_tot= 1.58 A| Vb= 6.31 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.60 C| PWR =9.97 Watt| I_tot= 1.58 A| Vb= 6.31 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.60 C| PWR =10.00 Watt| I_tot= 1.58 A| Vb= 6.32 V
TC= 31.50 C| TP= 31.90 C| TPL= 34.60 C| PWR =9.97 Watt| I_tot= 1.58 A| Vb= 6.31 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.60 C| PWR =9.69 Watt| I_tot= 1.56 A| Vb= 6.23 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.60 C| PWR =9.82 Watt| I_tot= 1.57 A| Vb= 6.27 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.50 C| PWR =9.78 Watt| I_tot= 1.57 A| Vb= 6.26 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.50 C| PWR =9.88 Watt| I_tot= 1.57 A| Vb= 6.29 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.50 C| PWR =9.91 Watt| I_tot= 1.58 A| Vb= 6.30 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.50 C| PWR =9.91 Watt| I_tot= 1.58 A| Vb= 6.30 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.50 C| PWR =9.91 Watt| I_tot= 1.58 A| Vb= 6.30 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.50 C| PWR =9.94 Watt| I_tot= 1.58 A| Vb= 6.30 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.50 C| PWR =9.88 Watt| I_tot= 1.57 A| Vb= 6.29 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.50 C| PWR =9.78 Watt| I_tot= 1.57 A| Vb= 6.26 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.50 C| PWR =9.78 Watt| I_tot= 1.57 A| Vb= 6.26 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.50 C| PWR =9.78 Watt| I_tot= 1.57 A| Vb= 6.26 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.40 C| PWR =9.88 Watt| I_tot= 1.57 A| Vb= 6.29 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.40 C| PWR =9.85 Watt| I_tot= 1.57 A| Vb= 6.28 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.40 C| PWR =9.88 Watt| I_tot= 1.57 A| Vb= 6.29 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.40 C| PWR =9.88 Watt| I_tot= 1.57 A| Vb= 6.29 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.40 C| PWR =9.88 Watt| I_tot= 1.57 A| Vb= 6.29 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.40 C| PWR =9.85 Watt| I_tot= 1.57 A| Vb= 6.28 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.40 C| PWR =9.72 Watt| I_tot= 1.56 A| Vb= 6.24 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.30 C| PWR =9.66 Watt| I_tot= 1.56 A| Vb= 6.22 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.30 C| PWR =9.69 Watt| I_tot= 1.56 A| Vb= 6.23 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.30 C| PWR =9.63 Watt| I_tot= 1.55 A| Vb= 6.21 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.30 C| PWR =9.63 Watt| I_tot= 1.55 A| Vb= 6.21 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.30 C| PWR =9.60 Watt| I_tot= 1.55 A| Vb= 6.20 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.30 C| PWR =9.60 Watt| I_tot= 1.55 A| Vb= 6.20 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.30 C| PWR =9.69 Watt| I_tot= 1.56 A| Vb= 6.23 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.30 C| PWR =9.69 Watt| I_tot= 1.56 A| Vb= 6.23 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.20 C| PWR =9.69 Watt| I_tot= 1.56 A| Vb= 6.23 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.20 C| PWR =9.57 Watt| I_tot= 1.55 A| Vb= 6.19 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.20 C| PWR =9.63 Watt| I_tot= 1.55 A| Vb= 6.21 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.20 C| PWR =9.54 Watt| I_tot= 1.55 A| Vb= 6.18 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.20 C| PWR =9.63 Watt| I_tot= 1.55 A| Vb= 6.21 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.20 C| PWR =9.63 Watt| I_tot= 1.55 A| Vb= 6.21 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.10 C| PWR =9.51 Watt| I_tot= 1.55 A| Vb= 6.17 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.10 C| PWR =9.57 Watt| I_tot= 1.55 A| Vb= 6.19 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.10 C| PWR =9.51 Watt| I_tot= 1.55 A| Vb= 6.17 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.10 C| PWR =9.51 Watt| I_tot= 1.55 A| Vb= 6.17 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.10 C| PWR =9.57 Watt| I_tot= 1.55 A| Vb= 6.19 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.10 C| PWR =9.51 Watt| I_tot= 1.55 A| Vb= 6.17 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.00 C| PWR =9.51 Watt| I_tot= 1.55 A| Vb= 6.17 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.00 C| PWR =9.60 Watt| I_tot= 1.55 A| Vb= 6.20 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.00 C| PWR =9.51 Watt| I_tot= 1.55 A| Vb= 6.17 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.00 C| PWR =9.48 Watt| I_tot= 1.54 A| Vb= 6.16 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.00 C| PWR =9.48 Watt| I_tot= 1.54 A| Vb= 6.16 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.00 C| PWR =9.51 Watt| I_tot= 1.55 A| Vb= 6.17 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.00 C| PWR =9.48 Watt| I_tot= 1.54 A| Vb= 6.16 V
TC= 31.60 C| TP= 31.90 C| TPL= 33.90 C| PWR =9.66 Watt| I_tot= 1.56 A| Vb= 6.22 V
TC= 31.60 C| TP= 31.90 C| TPL= 33.90 C| PWR =9.66 Watt| I_tot= 1.56 A| Vb= 6.22 V
TC= 31.60 C| TP= 31.90 C| TPL= 33.90 C| PWR =9.60 Watt| I_tot= 1.55 A| Vb= 6.20 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.00 C| PWR =9.60 Watt| I_tot= 1.55 A| Vb= 6.20 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.00 C| PWR =9.66 Watt| I_tot= 1.56 A| Vb= 6.22 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.00 C| PWR =9.60 Watt| I_tot= 1.55 A| Vb= 6.20 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.10 C| PWR =9.51 Watt| I_tot= 1.55 A| Vb= 6.17 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.20 C| PWR =9.57 Watt| I_tot= 1.55 A| Vb= 6.19 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.20 C| PWR =9.54 Watt| I_tot= 1.55 A| Vb= 6.18 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.20 C| PWR =9.51 Watt| I_tot= 1.55 A| Vb= 6.17 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.20 C| PWR =9.48 Watt| I_tot= 1.54 A| Vb= 6.16 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.30 C| PWR =9.51 Watt| I_tot= 1.55 A| Vb= 6.17 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.30 C| PWR =9.45 Watt| I_tot= 1.54 A| Vb= 6.15 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.30 C| PWR =9.48 Watt| I_tot= 1.54 A| Vb= 6.16 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.30 C| PWR =9.45 Watt| I_tot= 1.54 A| Vb= 6.15 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.40 C| PWR =9.48 Watt| I_tot= 1.54 A| Vb= 6.16 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.40 C| PWR =9.48 Watt| I_tot= 1.54 A| Vb= 6.16 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.40 C| PWR =9.45 Watt| I_tot= 1.54 A| Vb= 6.15 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.40 C| PWR =9.48 Watt| I_tot= 1.54 A| Vb= 6.16 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.40 C| PWR =9.45 Watt| I_tot= 1.54 A| Vb= 6.15 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.40 C| PWR =9.42 Watt| I_tot= 1.54 A| Vb= 6.14 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.50 C| PWR =9.45 Watt| I_tot= 1.54 A| Vb= 6.15 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.50 C| PWR =9.39 Watt| I_tot= 1.54 A| Vb= 6.13 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.50 C| PWR =9.39 Watt| I_tot= 1.54 A| Vb= 6.13 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.50 C| PWR =9.36 Watt| I_tot= 1.53 A| Vb= 6.12 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.60 C| PWR =9.36 Watt| I_tot= 1.53 A| Vb= 6.12 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.60 C| PWR =9.75 Watt| I_tot= 1.56 A| Vb= 6.25 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.60 C| PWR =9.75 Watt| I_tot= 1.56 A| Vb= 6.25 V
TC= 31.60 C| TP= 31.90 C| TPL= 34.60 C| PWR =9.75 Watt| I_tot= 1.56 A| Vb= 6.25 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.70 C| PWR =9.66 Watt| I_tot= 1.56 A| Vb= 6.22 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.70 C| PWR =9.57 Watt| I_tot= 1.55 A| Vb= 6.19 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.70 C| PWR =9.60 Watt| I_tot= 1.55 A| Vb= 6.20 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.70 C| PWR =9.54 Watt| I_tot= 1.55 A| Vb= 6.18 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.80 C| PWR =9.54 Watt| I_tot= 1.55 A| Vb= 6.18 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.80 C| PWR =9.51 Watt| I_tot= 1.55 A| Vb= 6.17 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.80 C| PWR =9.54 Watt| I_tot= 1.55 A| Vb= 6.18 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.80 C| PWR =9.57 Watt| I_tot= 1.55 A| Vb= 6.19 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.90 C| PWR =9.54 Watt| I_tot= 1.55 A| Vb= 6.18 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.90 C| PWR =9.51 Watt| I_tot= 1.55 A| Vb= 6.17 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.90 C| PWR =9.51 Watt| I_tot= 1.55 A| Vb= 6.17 V
TC= 31.70 C| TP= 31.90 C| TPL= 34.90 C| PWR =9.51 Watt| I_tot= 1.55 A| Vb= 6.17 V
TC= 31.70 C| TP= 31.90 C| TPL= 35.00 C| PWR =9.48 Watt| I_tot= 1.54 A| Vb= 6.16 V
TC= 31.70 C| TP= 31.90 C| TPL= 35.00 C| PWR =9.48 Watt| I_tot= 1.54 A| Vb= 6.16 V
TC= 31.70 C| TP= 31.90 C| TPL= 35.10 C| PWR =9.42 Watt| I_tot= 1.54 A| Vb= 6.14 V
TC= 31.70 C| TP= 31.90 C| TPL= 35.10 C| PWR =9.39 Watt| I_tot= 1.54 A| Vb= 6.13 V
TC= 31.70 C| TP= 31.90 C| TPL= 35.10 C| PWR =9.45 Watt| I_tot= 1.54 A| Vb= 6.15 V
TC= 31.70 C| TP= 31.90 C| TPL= 35.20 C| PWR =9.39 Watt| I_tot= 1.54 A| Vb= 6.13 V
TC= 31.70 C| TP= 31.90 C| TPL= 35.20 C| PWR =9.36 Watt| I_tot= 1.53 A| Vb= 6.12 V
TC= 31.60 C| TP= 31.90 C| TPL= 35.20 C| PWR =9.33 Watt| I_tot= 1.53 A| Vb= 6.11 V
TC= 31.60 C| TP= 31.90 C| TPL= 35.20 C| PWR =9.30 Watt| I_tot= 1.53 A| Vb= 6.10 V
TC= 31.70 C| TP= 31.90 C| TPL= 35.30 C| PWR =9.27 Watt| I_tot= 1.53 A| Vb= 6.09 V
TC= 31.70 C| TP= 31.90 C| TPL= 35.30 C| PWR =9.24 Watt| I_tot= 1.52 A| Vb= 6.08 V
